ArabicWord,EnglishMeaning,Link,,
????????,Pitcher,link to dictionary,,
??????,"Father , Ancestors",link to dictionary,,
??????,"Eternal, Stay Longer , Forever ,Runaway",link to dictionary,,
?-?????,"Why, Do , Does, Truly, Verily, Indeed, I , Am",link to dictionary,,
?????????,"Devil , Satan",link to dictionary,,
???,Camel,link to dictionary,,
???,Camel,link to dictionary,,
???,"Father , Ancestors",link to dictionary,,
??????,"Runaway, Fugitive,",link to dictionary,,
?????,"Refuse, Reject, Decline ,",link to dictionary,,
?????,", Bring, Come, Produce, Achieve,",link to dictionary,,
?????,"Furniture, Wealthy , Abundant,",link to dictionary,,
??????,", Affect, Effect, Influence, Preferred, Remnant, Transmit, Relate , Report, Selfish,",link to dictionary,,
??????,"Offense, Crime , Sin, Evil, Restrain Oneself,",link to dictionary,,
??????,"Strength, Deep Rooted, Noble,",link to dictionary,,
??????,"Reward , Wages , Rent",link to dictionary,,
?????,"Bitter , Salty water, Flame",link to dictionary,,
?? ???,"Appointed Time, Untill Further Notice, Period,",link to dictionary,,
??????,"Hold , Grab, Take , Follow , Gather , Understand",link to dictionary,,
? ??,"One, Unity, Oneness,",link to dictionary,,
???,"Last , Recent , Another , Postpone",link to dictionary,,
? ??,"Brother , Fellow men ,",link to dictionary,,
??????,"Take, Bring ,Carry out, Execute, Perform",link to dictionary,,
?? ?? ??,"Harm , Suffer , Trouble",link to dictionary,,
????,"See, Behold, Then, Suddenly, Since, as , When,",link to dictionary,,
????,"Hear , Permission, Allow, Listen, Hear, Announce",link to dictionary,,
?????,"To be skillful, Resourceful, Wish, Desire, Purpose,",link to dictionary,,
?? ?? ? ????,"Sofa , Throne, Couch,",link to dictionary,,
?? ?? ??,"Root , Origin",link to dictionary,,
?? ????,"Land, Area, Region , Earth , Country",link to dictionary,,
????,"Basis , Ground , Foundation , Assembly",link to dictionary,,
??????,"Surround , Support , Back up , Help Assist",link to dictionary,,
?????,"Come , Draw near (time)",link to dictionary,,
?? ???????? ?,Brocade,link to dictionary,,
??????,"Tie Up , Chain , Shackle , Capture , Family , Clan , Dynasty ,",link to dictionary,,
? ??,", Sad, Grieve, Model, Console , Comfort",link to dictionary,,
?? ????,"Regret , Sorrow, Sad , Distress,",link to dictionary,,
?? ????,", Time before sunset, Establish , Principles, Root, Source, Origin, Cause,",link to dictionary,,
????????,Bracelet,link to dictionary,,
??????,"Insolent , Lively , Visa",link to dictionary,,
???,"Bond , Tie , Load , Burden , Covenant",link to dictionary,,
??????,"Liar , Falsehood",link to dictionary,,
??????,"Go Down of Stars , Transitory",link to dictionary,,
?? ????,"Horizon , Remote Regions",link to dictionary,,
???,"Displeasure , Disgust",link to dictionary,,
??????,"Eat , Food, Consume, Destroy,",link to dictionary,,
?? ????,"Unite , Join , Compile",link to dictionary,,
?????,Thousand,link to dictionary,,
?? ????,"Pain , Hurt , Suffer",link to dictionary,,
?????,", Till, Untill, And other people like that, Towards",link to dictionary,,
????,god,link to dictionary,,
?????,"Fail , Neglect , Oath , Spare no efforts, Desist,",link to dictionary,,
??????,Towards,link to dictionary,,
?? ???,"To go, Repair, To go to See, Mother , Source , Basis, illiterate ,uneducated",link to dictionary,,
??????,"Bond maid, Slave Girl",link to dictionary,,
?? ????,"Period , Eternity",link to dictionary,,
?? ????,"Order , Affair, Matter, ,Order, Command",link to dictionary,,
?????,"Yesterday , Past",link to dictionary,,
?? ????,"Safe , Believe , Faith, Security , Peace",link to dictionary,,
?? ????,"Safe , Believe , Faith, Security , Peace",link to dictionary,,
?? ????,"Hope , Expectation, Contemplation ,",link to dictionary,,
?????,I (AM),link to dictionary,,
??????,"Feminine, Female, Women ,",link to dictionary,,
??????,"Friendliness , Entertain , Keep Company , Human",link to dictionary,,
?? ??? ??? ??,"Human Race, Mankind ,",link to dictionary,,
?? ???,"Long Suffering , Mature , Ripen , Vessel , Container, (Span of) time, period, All night long",link to dictionary,,
??????,"Nose , Reject, Scorn, Disdain,",link to dictionary,,
? ? ?,"Return, Coming Back",link to dictionary,,
?????,"Family , Worthiness",link to dictionary,,
?????,"Family , Worthiness",link to dictionary,,
??????,", Poke fun , Ridicule",link to dictionary,,
? ? ?,"Return , Clan , First, Family, Relative ,",link to dictionary,,
?????,"Benefit, Favor, Blessing",link to dictionary,,
?? ??,"Return , Clan , First, Family, Relative ,",link to dictionary,,
???,"Time , Moment, At the present time",link to dictionary,,
????,"Admiration , Sighing",link to dictionary,,
?????,"Refuge , Shelter",link to dictionary,,
?????,"Who , Which , What",link to dictionary,,
? ?? -???,", Sign, Miracle , The Verses of the Koran, Mark,",link to dictionary,,
??????,"You, With You,",link to dictionary,,
??????,"Where , Approach of time",link to dictionary,,
???,Widow,link to dictionary,,
??? ??,"Well , Pit , Abyss",link to dictionary,,
???? ?- ???? ??,", Suffering, Misery, Poor, Calamity, Courage , Strong",link to dictionary,,
?????,Cut,link to dictionary,,
??????,Cut off,link to dictionary,,
??????,"Cut Off, Devote Oneself to God, Virgin",link to dictionary,,
?????,"Spread , Scatter",link to dictionary,,
??????,"Cause water to Flow or Gush out ,",link to dictionary,,
??????,"Discuss , Investigate",link to dictionary,,
??????,"Sea , Ocean , Large River",link to dictionary,,
??????,"Decrease, Reduce, Too Little,",link to dictionary,,
??????,Kill One Self,link to dictionary,,
??????,"Stingy, Miser, Give Reluctantly",link to dictionary,,
?????,"Spread , Scatter",link to dictionary,,
?????,"Spread , Scatter",link to dictionary,,
??????,"Begin , Start",link to dictionary,,
?????,"Come Suddenly, Moon, Rush, Hurry,Hastening",link to dictionary,,
???? ??,"Create , First , Originate",link to dictionary,,
???? ??,"Bodily , Physical",link to dictionary,,
??????,"Change , Replace",link to dictionary,,
?????,"Come to Light , Appear, Desert, Nomads, Bedouin,",link to dictionary,,
??????,"Sow , Spread , Disseminate, Waste, Squander,",link to dictionary,,
?????,"Dutiful , Devoted",link to dictionary,,
????,"Land , Open Country",link to dictionary,,
???? ??,"Create , Creation.",link to dictionary,,
???? ???,"Recover , Heal , Absolved , Free",link to dictionary,,
??????,"Depart, Continue, Leave Place , Open , Space, Yesterday, Torment,",link to dictionary,,
?? ?,"Tower, Constellations, Castle , Pretty",link to dictionary,,
??????,"Cold , Coolness",link to dictionary,,
??????,"Come out , Show , Appear",link to dictionary,,
??????,"Leper , Leprosy , Wall Gecko",link to dictionary,,
???????,"Obstruction , Partition",link to dictionary,,
??????,"Lightning , Flash, Shining,",link to dictionary,,
??????,"Blessing , Abundant , Prosperity",link to dictionary,,
??????,"Tired, Weary, Sick,",link to dictionary,,
????????,"Prove , Demonstrate",link to dictionary,,
??????,"Emerge , Appear",link to dictionary,,
??????,"Frown, Scowl ,",link to dictionary,,
??????,", Stretch, Spread , Unfold, Carpet, Surface of the earth, Explain,",link to dictionary,,
?????,"Send , Drive Away ,",link to dictionary,,
??????,"High , Tall , Excel",link to dictionary,,
??????,Smile,link to dictionary,,
??????,"Brave , Scowl, Courage,",link to dictionary,,
?????,"Man , Human Being , Mankind , Peel , Scrap , Grate , Shred , Touch , Contact , Pursue ,",link to dictionary,,
??????,"Good news, Messenger Bearer of good news,",link to dictionary,,
??????,"See , Understand",link to dictionary,,
??????,"Few , Some , Cut",link to dictionary,,
??????,"Possess Own, Win, Range, Sphere,",link to dictionary,,
??????,"Strike , Tyranny, Force, Violence, Power",link to dictionary,,
??????,"Invalid , False , Abolish",link to dictionary,,
??????,"Arrogant , Vanity",link to dictionary,,
??????,"Hidden , Stomach, Concealed, Inside, Secret,",link to dictionary,,
??????,"Dispatch , Delegate , Rebirth, Arouse, Incite,",link to dictionary,,
????????,"Scatter , Strew around , Disarrange , Dissipation , Wasted",link to dictionary,,
??????,"Distant , Far Away, Remote, Far Beyond, Then, After that, Remove, Separate,",link to dictionary,,
??????,"Unexpectedly , Surprise",link to dictionary,,
??????,"Hateful , Loathsome, Resentful, Detest,",link to dictionary,,
?????,"Seek , desire , Outrage Strive, Oppress,",link to dictionary,,
?????,"Seek , desire , Outrage Strive, Oppress,",link to dictionary,,
?????,Mule,link to dictionary,,
??????,Cow,link to dictionary,,
??????,"Remain , Lasting",link to dictionary,,
??????,"Spot , Locality",link to dictionary,,
??????,"Morning , Tomorrow , Virgin",link to dictionary,,
?????,"Cry , Weep",link to dictionary,,
??????,"Town , Country",link to dictionary,,
??????,"Silent , Dumb",link to dictionary,,
??????,"Town , Country",link to dictionary,,
????,", But , However, Rather, Yet, Even",link to dictionary,,
??????,"Swallow , Gulp ,",link to dictionary,,
??????,"Reach , arrive , Come, Amount, More Profound, Convey, Transmit, Deliver,",link to dictionary,,
???,"Test , Misfortune, Trial, Calamity,",link to dictionary,,
????? ??,Fingertips,link to dictionary,,
?????,"Son , Descendant , Man , Human Being ,",link to dictionary,,
?????,"Build, Erect , Construct",link to dictionary,,
??????,"Bewildered , Slander",link to dictionary,,
??????,"Good Looking , Happy",link to dictionary,,
??????,"Supplicate , Pray",link to dictionary,,
???,"Livestock , lamb , Sheep",link to dictionary,,
??? ?,"Door , Gate , Class",link to dictionary,,
?? ??,"Return , Settle Down",link to dictionary,,
?????,"Perish , Destroy",link to dictionary,,
?????,"Lineal Measure , Power, Might",link to dictionary,,
????,"Condition , State",link to dictionary,,
??? ??,"Spend the night , Home",link to dictionary,,
??? ??,"Egg , White",link to dictionary,,
??? ??,"Sell , Transaction",link to dictionary,,
??? ??,"Evident , Between",link to dictionary,,
???????,"Box, Coffer, Casket, Coffin",link to dictionary,,
??????,"Destroy , Annihilate",link to dictionary,,
??????,"Destroy , Annihilate",link to dictionary,,
??????,"Follow , Pursue, Succeed, Adhere, Attached, Compliance, Agree,",link to dictionary,,
?????,"Perish , Destruction",link to dictionary,,
??????,"Trade , Business, Merchandize, Store, Shop,",link to dictionary,,
