ArabicWord,EnglishMeaning,Link,
إِبْريِق,Pitcher,link to dictionary,
أَّبَّ,"Father , Ancestors",link to dictionary,
أَبَدَ,"Eternal, Stay Longer , Forever ,Runaway",link to dictionary,
أ-أَلَا,"Why, Do , Does, Truly, Verily, Indeed, I , Am",link to dictionary,
إِبْلِيسَ,"Devil , Satan",link to dictionary,
ابل,Camel,link to dictionary,
ابل,Camel,link to dictionary,
أَب,"Father , Ancestors",link to dictionary,
أَبَقَ,"Runaway, Fugitive,",link to dictionary,
أَبَى,"Refuse, Reject, Decline ,",link to dictionary,
أَتَى,", Bring, Come, Produce, Achieve,",link to dictionary,
أَثَّ,"Furniture, Wealthy , Abundant,",link to dictionary,
أَثَرَ,", Affect, Effect, Influence, Preferred, Remnant, Transmit, Relate , Report, Selfish,",link to dictionary,
أَثِمَ,"Offense, Crime , Sin, Evil, Restrain Oneself,",link to dictionary,
أَثْلَ,"Strength, Deep Rooted, Noble,",link to dictionary,
أَجَرَ,"Reward , Wages , Rent",link to dictionary,
أَجَّ,"Bitter , Salty water, Flame",link to dictionary,
أَ جَل,"Appointed Time, Untill Further Notice, Period,",link to dictionary,
أَخَذَ,"Hold , Grab, Take , Follow , Gather , Understand",link to dictionary,
أ حد,"One, Unity, Oneness,",link to dictionary,
أخر,"Last , Recent , Another , Postpone",link to dictionary,
أ خو,"Brother , Fellow men ,",link to dictionary,
أَدَاء,"Take, Bring ,Carry out, Execute, Perform",link to dictionary,
أَ ذِ يَ,"Harm , Suffer , Trouble",link to dictionary,
إِذْ,"See, Behold, Then, Suddenly, Since, as , When,",link to dictionary,
أَذن,"Hear , Permission, Allow, Listen, Hear, Announce",link to dictionary,
آرِبُ,"To be skillful, Resourceful, Wish, Desire, Purpose,",link to dictionary,
أَ رَ ا ءيكُ,"Sofa , Throne, Couch,",link to dictionary,
أَ رَ مَ,"Root , Origin",link to dictionary,
أَ رَضْ,"Land, Area, Region , Earth , Country",link to dictionary,
أُسَ,"Basis , Ground , Foundation , Assembly",link to dictionary,
أَزْرَ,"Surround , Support , Back up , Help Assist",link to dictionary,
آزِفَ,"Come , Draw near (time)",link to dictionary,
إِ سْتَبْرَ ق,Brocade,link to dictionary,
أَسَرَ,"Tie Up , Chain , Shackle , Capture , Family , Clan , Dynasty ,",link to dictionary,
ا سو,", Sad, Grieve, Model, Console , Comfort",link to dictionary,
أَ سِفَ,"Regret , Sorrow, Sad , Distress,",link to dictionary,
أَ صُلَ,", Time before sunset, Establish , Principles, Root, Source, Origin, Cause,",link to dictionary,
أَسْوَار,Bracelet,link to dictionary,
أَشَرَ,"Insolent , Lively , Visa",link to dictionary,
أصر,"Bond , Tie , Load , Burden , Covenant",link to dictionary,
أَفَكَ,"Liar , Falsehood",link to dictionary,
أَفَلَ,"Go Down of Stars , Transitory",link to dictionary,
أُ فُقْ,"Horizon , Remote Regions",link to dictionary,
أفَ,"Displeasure , Disgust",link to dictionary,
أَكَلَ,"Eat , Food, Consume, Destroy,",link to dictionary,
أَ لِفَ,"Unite , Join , Compile",link to dictionary,
أَلْف,Thousand,link to dictionary,
أَ لِمَ,"Pain , Hurt , Suffer",link to dictionary,
إِلَى,", Till, Untill, And other people like that, Towards",link to dictionary,
إِله,god,link to dictionary,
أَلَا,"Fail , Neglect , Oath , Spare no efforts, Desist,",link to dictionary,
أَلِيَ,Towards,link to dictionary,
أَ مَّ,"To go, Repair, To go to See, Mother , Source , Basis, illiterate ,uneducated",link to dictionary,
أَمَهَ,"Bond maid, Slave Girl",link to dictionary,
أَ مَدْ,"Period , Eternity",link to dictionary,
أَ مَرَ,"Order , Affair, Matter, ,Order, Command",link to dictionary,
أَمْس,"Yesterday , Past",link to dictionary,
أَ مُنَ,"Safe , Believe , Faith, Security , Peace",link to dictionary,
أَ مُنَ,"Safe , Believe , Faith, Security , Peace",link to dictionary,
أَ مَلَ,"Hope , Expectation, Contemplation ,",link to dictionary,
أَنَا,I (AM),link to dictionary,
أَنُثَ,"Feminine, Female, Women ,",link to dictionary,
أَنِسَ,"Friendliness , Entertain , Keep Company , Human",link to dictionary,
اَ لاَ نَا مْ,"Human Race, Mankind ,",link to dictionary,
أَ نَى,"Long Suffering , Mature , Ripen , Vessel , Container, (Span of) time, period, All night long",link to dictionary,
أَنِفَ,"Nose , Reject, Scorn, Disdain,",link to dictionary,
أ و ب,"Return, Coming Back",link to dictionary,
أهَلَ,"Family , Worthiness",link to dictionary,
أهَلَ,"Family , Worthiness",link to dictionary,
إِوَذَ,", Poke fun , Ridicule",link to dictionary,
ا و ل,"Return , Clan , First, Family, Relative ,",link to dictionary,
آلَاء,"Benefit, Favor, Blessing",link to dictionary,
إِ لَ,"Return , Clan , First, Family, Relative ,",link to dictionary,
آنَ,"Time , Moment, At the present time",link to dictionary,
أَهَ,"Admiration , Sighing",link to dictionary,
أَوَى,"Refuge , Shelter",link to dictionary,
أَيُّ,"Who , Which , What",link to dictionary,
آ ىي -آية,", Sign, Miracle , The Verses of the Koran, Mark,",link to dictionary,
إِيَّا,"You, With You,",link to dictionary,
أَيْنَ,"Where , Approach of time",link to dictionary,
آمَ,Widow,link to dictionary,
بَا رَ,"Well , Pit , Abyss",link to dictionary,
بَأْ س- بَؤُ سَ,", Suffering, Misery, Poor, Calamity, Courage , Strong",link to dictionary,
بَتَّ,Cut,link to dictionary,
بَتَرَ,Cut off,link to dictionary,
بَتَلَ,"Cut Off, Devote Oneself to God, Virgin",link to dictionary,
بَثَّ,"Spread , Scatter",link to dictionary,
بَجَسَ,"Cause water to Flow or Gush out ,",link to dictionary,
بَحَثَ,"Discuss , Investigate",link to dictionary,
بَحَرَ,"Sea , Ocean , Large River",link to dictionary,
بَخَسَ,"Decrease, Reduce, Too Little,",link to dictionary,
بَخَعَ,Kill One Self,link to dictionary,
بَخِلَ,"Stingy, Miser, Give Reluctantly",link to dictionary,
بَدَّ,"Spread , Scatter",link to dictionary,
